User_ID,Loyalty_Points,Total_Games_Played,Total_Deposits,Total_Withdrawals,Num_Deposits,Num_Withdrawals
618,44.601,123.0,2000.0,0.0,1.0,0.0
677,42.601,13.0,4000.0,0.0,1.0,0.0
342,42.202000000000005,11.0,4000.0,0.0,2.0,0.0
412,40.800999999999995,4.0,4000.0,0.0,1.0,0.0
6,40.400999999999996,2.0,4000.0,0.0,1.0,0.0
219,40.202000000000005,1.0,4000.0,0.0,2.0,0.0
400,40.001,0.0,4000.0,0.0,1.0,0.0
560,38.985,0.0,0.0,7797.0,0.0,1.0
47,37.385,4.0,0.0,7317.0,0.0,2.0
936,34.285000000000004,0.0,0.0,6857.0,0.0,1.0
497,34.202000000000005,6.0,3300.0,0.0,2.0,0.0
338,33.803,4.0,3300.0,0.0,3.0,0.0
539,33.002,0.0,3300.0,0.0,2.0,0.0
448,32.6,13.0,0.0,6000.0,0.0,1.0
542,31.2,6.0,0.0,6000.0,0.0,1.0
790,30.801000000000002,4.0,3000.0,0.0,1.0,0.0
804,30.701999999999998,1.0,3050.0,0.0,2.0,0.0
190,30.601000000000003,3.0,3000.0,0.0,1.0,0.0
351,30.596,1.0,300.0,5479.0,2.0,1.0
573,30.401999999999997,2.0,3000.0,0.0,2.0,0.0
825,30.401,2.0,3000.0,0.0,1.0,0.0
198,30.002,0.0,3000.0,0.0,2.0,0.0
613,30.001,0.0,3000.0,0.0,1.0,0.0
518,28.65,2.0,0.0,5650.0,0.0,2.0
784,28.1,3.0,0.0,5500.0,0.0,1.0
42,26.401,7.0,2500.0,0.0,1.0,0.0
450,26.201999999999998,6.0,2500.0,0.0,2.0,0.0
275,25.201999999999998,1.0,2500.0,0.0,2.0,0.0
170,25.001,0.0,2500.0,0.0,1.0,0.0
366,24.901,2.0,2450.0,0.0,1.0,0.0
390,24.003,0.0,2400.0,0.0,3.0,0.0
247,23.6,118.0,0.0,0.0,0.0,0.0
204,23.001,15.0,2000.0,0.0,1.0,0.0
11,23.001,15.0,2000.0,0.0,1.0,0.0
10,22.601000000000003,13.0,2000.0,0.0,1.0,0.0
97,22.401000000000003,12.0,2000.0,0.0,1.0,0.0
695,22.254,6.0,2105.0,0.0,4.0,0.0
973,22.201,11.0,2000.0,0.0,1.0,0.0
449,22.200000000000003,111.0,0.0,0.0,0.0,0.0
607,22.001,10.0,2000.0,0.0,1.0,0.0
701,21.801000000000002,4.0,2100.0,0.0,1.0,0.0
55,20.801000000000002,4.0,2000.0,0.0,1.0,0.0
717,20.801000000000002,4.0,2000.0,0.0,1.0,0.0
199,20.601000000000003,3.0,2000.0,0.0,1.0,0.0
80,20.401,2.0,2000.0,0.0,1.0,0.0
136,20.401,2.0,2000.0,0.0,1.0,0.0
743,20.401,2.0,2000.0,0.0,1.0,0.0
689,20.401,2.0,2000.0,0.0,1.0,0.0
95,20.401,2.0,2000.0,0.0,1.0,0.0
600,20.201,1.0,2000.0,0.0,1.0,0.0
409,20.201,1.0,2000.0,0.0,1.0,0.0
723,20.001,0.0,2000.0,0.0,1.0,0.0
588,20.001,0.0,2000.0,0.0,1.0,0.0
185,20.001,0.0,2000.0,0.0,1.0,0.0
820,20.001,0.0,2000.0,0.0,1.0,0.0
381,20.001,0.0,2000.0,0.0,1.0,0.0
480,20.001,0.0,2000.0,0.0,1.0,0.0
120,20.001,0.0,2000.0,0.0,1.0,0.0
404,20.001,0.0,2000.0,0.0,1.0,0.0
235,20.001,0.0,2000.0,0.0,1.0,0.0
909,20.001,0.0,2000.0,0.0,1.0,0.0
23,20.001,0.0,2000.0,0.0,1.0,0.0
396,19.775000000000002,0.0,0.0,3955.0,0.0,1.0
554,19.151,2.0,1875.0,0.0,1.0,0.0
296,19.000999999999998,45.0,1000.0,0.0,1.0,0.0
407,19.000999999999998,35.0,1200.0,0.0,1.0,0.0
644,18.401999999999997,7.0,1700.0,0.0,2.0,0.0
776,18.311999999999998,2.0,1791.0,0.0,2.0,0.0
754,18.2,91.0,0.0,0.0,0.0,0.0
829,17.9,2.0,0.0,3500.0,0.0,1.0
456,17.0,85.0,0.0,0.0,0.0,0.0
982,16.000999999999998,5.0,1500.0,0.0,1.0,0.0
738,15.200000000000001,76.0,0.0,0.0,0.0,0.0
66,15.001,0.0,1500.0,0.0,1.0,0.0
168,14.801,24.0,1000.0,0.0,1.0,0.0
978,14.200999999999999,1.0,1400.0,0.0,1.0,0.0
887,14.0,70.0,0.0,0.0,0.0,0.0
990,14.0,70.0,0.0,0.0,0.0,0.0
149,13.881,0.0,1388.0,0.0,1.0,0.0
837,13.803,4.0,1300.0,0.0,3.0,0.0
137,12.8,64.0,0.0,0.0,0.0,0.0
828,12.8,64.0,0.0,0.0,0.0,0.0
722,12.600000000000001,63.0,0.0,0.0,0.0,0.0
582,12.600000000000001,63.0,0.0,0.0,0.0,0.0
205,12.4,62.0,0.0,0.0,0.0,0.0
795,11.801,9.0,1000.0,0.0,1.0,0.0
758,11.600999999999999,8.0,1000.0,0.0,1.0,0.0
777,11.401,7.0,1000.0,0.0,1.0,0.0
888,11.201,6.0,1000.0,0.0,1.0,0.0
17,11.001,5.0,1000.0,0.0,1.0,0.0
525,11.001,5.0,1000.0,0.0,1.0,0.0
181,10.600000000000001,53.0,0.0,0.0,0.0,0.0
656,10.401,2.0,1000.0,0.0,1.0,0.0
24,10.401,2.0,1000.0,0.0,1.0,0.0
218,10.4,52.0,0.0,0.0,0.0,0.0
708,10.200999999999999,1.0,1000.0,0.0,1.0,0.0
484,10.200999999999999,1.0,1000.0,0.0,1.0,0.0
939,10.001,0.0,1000.0,0.0,1.0,0.0
278,10.001,0.0,1000.0,0.0,1.0,0.0
432,10.001,0.0,1000.0,0.0,1.0,0.0
161,10.001,0.0,1000.0,0.0,1.0,0.0
841,10.001,0.0,1000.0,0.0,1.0,0.0
513,10.001,0.0,1000.0,0.0,1.0,0.0
453,10.001,0.0,1000.0,0.0,1.0,0.0
122,10.001,0.0,1000.0,0.0,1.0,0.0
639,10.001,0.0,1000.0,0.0,1.0,0.0
914,10.001,0.0,1000.0,0.0,1.0,0.0
71,10.001,0.0,1000.0,0.0,1.0,0.0
237,10.0,50.0,0.0,0.0,0.0,0.0
272,9.600000000000001,48.0,0.0,0.0,0.0,0.0
922,9.4,47.0,0.0,0.0,0.0,0.0
748,9.200000000000001,46.0,0.0,0.0,0.0,0.0
871,9.001,0.0,900.0,0.0,1.0,0.0
745,8.801,19.0,500.0,0.0,1.0,0.0
305,8.552,9.0,675.0,0.0,2.0,0.0
992,8.4,42.0,0.0,0.0,0.0,0.0
76,8.295,0.0,0.0,1659.0,0.0,1.0
458,8.200000000000001,41.0,0.0,0.0,0.0,0.0
435,8.0,0.0,0.0,1600.0,0.0,1.0
540,8.0,40.0,0.0,0.0,0.0,0.0
844,7.801,14.0,500.0,0.0,1.0,0.0
5,7.801,9.0,600.0,0.0,1.0,0.0
875,7.401000000000001,2.0,700.0,0.0,1.0,0.0
946,7.4,37.0,0.0,0.0,0.0,0.0
869,7.4,37.0,0.0,0.0,0.0,0.0
380,7.003,10.0,500.0,0.0,3.0,0.0
987,6.800000000000001,34.0,0.0,0.0,0.0,0.0
27,6.4,32.0,0.0,0.0,0.0,0.0
519,6.4,32.0,0.0,0.0,0.0,0.0
431,6.2010000000000005,6.0,500.0,0.0,1.0,0.0
377,6.0,30.0,0.0,0.0,0.0,0.0
581,5.800000000000001,29.0,0.0,0.0,0.0,0.0
72,5.601000000000001,3.0,500.0,0.0,1.0,0.0
45,5.601000000000001,3.0,500.0,0.0,1.0,0.0
372,5.6000000000000005,28.0,0.0,0.0,0.0,0.0
240,5.6000000000000005,28.0,0.0,0.0,0.0,0.0
731,5.401,3.0,480.0,0.0,1.0,0.0
968,5.2010000000000005,1.0,500.0,0.0,1.0,0.0
570,5.101000000000001,3.0,450.0,0.0,1.0,0.0
125,5.001,0.0,500.0,0.0,1.0,0.0
614,5.001,0.0,500.0,0.0,1.0,0.0
686,5.001,0.0,500.0,0.0,1.0,0.0
692,5.001,0.0,500.0,0.0,1.0,0.0
194,5.0,25.0,0.0,0.0,0.0,0.0
233,5.0,25.0,0.0,0.0,0.0,0.0
763,4.801,14.0,200.0,0.0,1.0,0.0
687,4.800000000000001,24.0,0.0,0.0,0.0,0.0
612,4.6000000000000005,23.0,0.0,0.0,0.0,0.0
667,4.481,5.0,348.0,0.0,1.0,0.0
826,4.4,22.0,0.0,0.0,0.0,0.0
805,4.4,22.0,0.0,0.0,0.0,0.0
831,4.2010000000000005,6.0,300.0,0.0,1.0,0.0
391,4.2,21.0,0.0,0.0,0.0,0.0
659,4.2,21.0,0.0,0.0,0.0,0.0
861,4.2,21.0,0.0,0.0,0.0,0.0
274,4.001,0.0,400.0,0.0,1.0,0.0
851,4.0009999999999994,10.0,200.0,0.0,1.0,0.0
889,4.0,20.0,0.0,0.0,0.0,0.0
693,4.0,20.0,0.0,0.0,0.0,0.0
43,3.8000000000000003,19.0,0.0,0.0,0.0,0.0
753,3.8000000000000003,19.0,0.0,0.0,0.0,0.0
139,3.8000000000000003,19.0,0.0,0.0,0.0,0.0
496,3.8000000000000003,19.0,0.0,0.0,0.0,0.0
744,3.701,11.0,150.0,0.0,1.0,0.0
559,3.6,18.0,0.0,0.0,0.0,0.0
418,3.6,18.0,0.0,0.0,0.0,0.0
246,3.501,0.0,350.0,0.0,1.0,0.0
303,3.4000000000000004,17.0,0.0,0.0,0.0,0.0
300,3.4000000000000004,17.0,0.0,0.0,0.0,0.0
564,3.4000000000000004,17.0,0.0,0.0,0.0,0.0
843,3.4000000000000004,17.0,0.0,0.0,0.0,0.0
658,3.4000000000000004,17.0,0.0,0.0,0.0,0.0
179,3.2,16.0,0.0,0.0,0.0,0.0
401,3.2,16.0,0.0,0.0,0.0,0.0
611,3.2,16.0,0.0,0.0,0.0,0.0
31,3.2,16.0,0.0,0.0,0.0,0.0
442,3.2,16.0,0.0,0.0,0.0,0.0
492,3.0,15.0,0.0,0.0,0.0,0.0
206,3.0,15.0,0.0,0.0,0.0,0.0
923,3.0,15.0,0.0,0.0,0.0,0.0
849,3.0,15.0,0.0,0.0,0.0,0.0
375,3.0,15.0,0.0,0.0,0.0,0.0
646,2.8000000000000003,14.0,0.0,0.0,0.0,0.0
313,2.8000000000000003,14.0,0.0,0.0,0.0,0.0
902,2.8000000000000003,14.0,0.0,0.0,0.0,0.0
654,2.8000000000000003,14.0,0.0,0.0,0.0,0.0
783,2.8000000000000003,14.0,0.0,0.0,0.0,0.0
318,2.6,13.0,0.0,0.0,0.0,0.0
628,2.6,13.0,0.0,0.0,0.0,0.0
460,2.6,13.0,0.0,0.0,0.0,0.0
641,2.6,13.0,0.0,0.0,0.0,0.0
944,2.5,0.0,0.0,500.0,0.0,1.0
796,2.401,2.0,200.0,0.0,1.0,0.0
668,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
636,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
649,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
330,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
150,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
802,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
932,2.4000000000000004,12.0,0.0,0.0,0.0,0.0
280,2.201,2.0,180.0,0.0,1.0,0.0
