User_ID,Loyalty_Points,Total_Games_Played,Total_Deposits,Total_Withdrawals,Num_Deposits,Num_Withdrawals
634,1491.555,0.0,0.0,298311.0,0.0,1.0
212,999.991,0.0,99999.0,0.0,1.0,0.0
99,980.002,0.0,98000.0,0.0,2.0,0.0
28,900.004,0.0,90000.0,0.0,4.0,0.0
566,880.2030000000001,1.0,88000.0,0.0,3.0,0.0
714,610.001,0.0,61000.0,0.0,1.0,0.0
786,600.0,0.0,0.0,120000.0,0.0,1.0
455,402.002,10.0,40000.0,0.0,2.0,0.0
175,400.0,0.0,0.0,80000.0,0.0,1.0
82,375.55,0.0,0.0,75110.0,0.0,4.0
414,350.001,0.0,35000.0,0.0,1.0,0.0
547,302.60200000000003,13.0,30000.0,0.0,2.0,0.0
289,272.802,24.0,6800.0,40000.0,3.0,1.0
401,253.601,18.0,25000.0,0.0,1.0,0.0
222,250.001,0.0,25000.0,0.0,1.0,0.0
279,250.001,0.0,25000.0,0.0,1.0,0.0
130,250.001,0.0,25000.0,0.0,1.0,0.0
740,240.001,0.0,24000.0,0.0,1.0,0.0
196,226.0,5.0,0.0,45000.0,0.0,1.0
496,222.202,11.0,22000.0,0.0,2.0,0.0
946,214.2,21.0,0.0,42000.0,0.0,1.0
16,211.525,25.0,5000.0,31305.0,1.0,2.0
861,203.8,19.0,0.0,40000.0,0.0,1.0
878,200.202,1.0,20000.0,0.0,2.0,0.0
30,200.001,0.0,20000.0,0.0,1.0,0.0
377,191.615,34.0,10000.0,16963.0,1.0,1.0
407,190.9,47.0,13000.0,10300.0,2.0,3.0
901,188.003,5.0,18700.0,0.0,3.0,0.0
32,174.202,1.0,17400.0,0.0,2.0,0.0
884,170.62500000000003,4.0,0.0,33965.0,0.0,2.0
915,170.202,1.0,17000.0,0.0,2.0,0.0
365,162.8,64.0,0.0,30000.0,0.0,1.0
920,156.95,16.0,0.0,30750.0,0.0,1.0
238,152.001,10.0,15000.0,0.0,1.0,0.0
587,151.80200000000002,9.0,15000.0,0.0,2.0,0.0
713,151.201,6.0,15000.0,0.0,1.0,0.0
285,150.012,0.0,15001.0,0.0,2.0,0.0
497,142.702,6.0,4150.0,20000.0,3.0,1.0
687,141.721,31.0,13552.0,0.0,1.0,0.0
618,137.70100000000002,101.0,4000.0,15500.0,2.0,1.0
663,130.001,124.0,10000.0,1040.0,2.0,1.0
754,122.485,80.0,0.0,21297.0,0.0,1.0
409,120.003,0.0,12000.0,0.0,3.0,0.0
869,117.40100000000001,37.0,11000.0,0.0,1.0,0.0
421,114.7,31.0,10000.0,1700.0,1.0,1.0
722,112.40100000000001,62.0,10000.0,0.0,1.0,0.0
471,110.07000000000001,6.0,0.0,21774.0,0.0,1.0
850,110.003,0.0,11000.0,0.0,3.0,0.0
828,108.40100000000001,42.0,10000.0,0.0,1.0,0.0
240,105.601,28.0,10000.0,0.0,1.0,0.0
242,102.001,10.0,10000.0,0.0,1.0,0.0
357,100.601,3.0,10000.0,0.0,1.0,0.0
508,100.601,3.0,10000.0,0.0,1.0,0.0
271,100.20100000000001,1.0,10000.0,0.0,1.0,0.0
913,100.002,0.0,10000.0,0.0,2.0,0.0
959,100.002,0.0,10000.0,0.0,2.0,0.0
159,100.001,0.0,10000.0,0.0,1.0,0.0
306,100.001,0.0,10000.0,0.0,1.0,0.0
269,100.001,0.0,10000.0,0.0,1.0,0.0
520,100.001,0.0,10000.0,0.0,1.0,0.0
439,98.801,4.0,9800.0,0.0,1.0,0.0
85,95.603,28.0,9000.0,0.0,3.0,0.0
673,90.80199999999999,4.0,9000.0,0.0,2.0,0.0
193,87.003,0.0,8700.0,0.0,3.0,0.0
950,80.002,0.0,8000.0,0.0,2.0,0.0
299,80.001,0.0,8000.0,0.0,1.0,0.0
765,77.60000000000001,388.0,0.0,0.0,0.0,0.0
422,75.0,0.0,0.0,15000.0,0.0,1.0
448,74.002,20.0,7000.0,0.0,2.0,0.0
361,70.001,0.0,7000.0,0.0,1.0,0.0
509,69.44500000000001,1.0,0.0,13849.0,0.0,1.0
342,65.804,19.0,6200.0,0.0,4.0,0.0
296,64.18,42.0,0.0,11156.0,0.0,1.0
201,63.65,0.0,0.0,12730.0,0.0,1.0
412,60.802,4.0,6000.0,0.0,2.0,0.0
991,60.201,1.0,6000.0,0.0,1.0,0.0
599,60.003,0.0,6000.0,0.0,3.0,0.0
483,60.001,0.0,6000.0,0.0,1.0,0.0
790,60.0,5.0,3000.0,5800.0,1.0,1.0
985,58.602000000000004,18.0,5500.0,0.0,2.0,0.0
795,57.41,14.0,0.0,10922.0,0.0,2.0
532,56.595000000000006,3.0,600.0,9999.0,1.0,1.0
853,56.551,5.0,5555.0,0.0,1.0,0.0
604,55.603,28.0,5000.0,0.0,3.0,0.0
699,55.601,28.0,5000.0,0.0,1.0,0.0
557,53.601,18.0,5000.0,0.0,1.0,0.0
567,52.505,2.0,2000.0,6421.0,1.0,1.0
24,51.602000000000004,3.0,5100.0,0.0,2.0,0.0
218,51.402,57.0,4000.0,0.0,2.0,0.0
140,51.001,5.0,5000.0,0.0,1.0,0.0
597,50.800999999999995,4.0,5000.0,0.0,1.0,0.0
307,50.800999999999995,4.0,5000.0,0.0,1.0,0.0
326,50.601,3.0,5000.0,0.0,1.0,0.0
806,50.601,3.0,5000.0,0.0,1.0,0.0
149,50.001,0.0,5000.0,0.0,1.0,0.0
114,50.001,0.0,5000.0,0.0,1.0,0.0
366,50.001,0.0,5000.0,0.0,1.0,0.0
