User_ID,Loyalty_Points,Points_Bonus,Games_Bonus,Total_Bonus
634,83843.32500000001,4647.20322133683,43124.845694887365,47772.048916224194
99,23665.737,1311.7262372611083,12172.48071186092,13484.206949122028
672,22757.78,1261.4006961970424,11705.472687995061,12966.873384192104
212,22199.282000000003,1230.4446993456513,11418.209031992594,12648.653731338245
740,19211.824,1064.8581789970308,9881.608887974488,10946.467066971518
566,19153.754999999997,1061.6395752040655,9851.741076020982,10913.380651225048
714,16764.234,929.1950462132127,8622.690052463737,9551.88509867695
421,15446.46,856.1544842150581,7944.892500771525,8801.046984986584
369,14438.444000000001,800.2829499890591,7426.419092685937,8226.702042674997
30,14053.375,778.9396421319702,7228.358707951857,8007.298350083827
587,13638.881,755.9653880452581,7015.163563419402,7771.12895146466
222,13348.803000000002,739.8871681507235,6865.96183520214,7605.849003352863
352,13040.650000000001,722.807101082002,6707.463223948154,7430.2703250301565
365,12855.075,712.5211929575378,6612.0126530192365,7324.5338459767745
920,12535.8,694.8246642417179,6447.793436889207,7142.618101130925
162,12483.6,691.9313628590047,6420.944347289374,7112.875710148378
415,12304.415,681.99963473139,6328.780475259747,7010.780109991137
569,12285.423,680.9469607877024,6319.011932928711,6999.9588937164135
786,12097.215999999999,670.5151681950523,6222.2075918115415,6892.7227600065935
2,12040.475,667.3701717629349,6193.022837156671,6860.393008919606
238,11638.838,645.1085455665971,5986.440695401708,6631.549240968305
992,11627.777,644.4954649805015,5980.751465898569,6625.2469308790705
28,10622.449,588.7729191475432,5463.6606316222615,6052.433550769805
538,10298.616,570.8237531194168,5297.097006480814,5867.920759600231
208,9840.405999999999,545.4264422655264,5061.416520934059,5606.842963199585
989,9789.2,542.5882355489897,5035.078695607447,5577.6669311564365
978,9399.005,520.9608077132076,4834.381750848678,5355.342558561886
915,9340.002,517.6904348878392,4804.03353564448,5321.723970532319
678,9292.421,515.0531518784352,4779.560230428968,5294.613382307403
78,9134.9,506.32219925187616,4698.539244933648,5204.861444185524
909,9068.070000000002,502.61799750078944,4664.165209340604,5166.783206841394
182,8840.907000000001,490.0269817536379,4547.3238349963995,5037.350816750038
93,8814.821999999998,488.58116247072434,4533.907005452113,5022.4881679228365
200,8365.783,463.69217473907304,4302.943627198847,4766.63580193792
259,8265.515000000001,458.13459728616317,4251.370743750644,4709.505341036807
306,8260.857,457.87641725090106,4248.974899701677,4706.851316952578
344,8239.608,456.6986440501103,4238.045468573192,4694.7441126233025
601,8128.062000000001,450.51595830229155,4180.671741590371,4631.187699892663
515,7882.608,436.9111230993698,4054.422384528341,4491.333507627711
294,7633.972999999999,423.129973879237,3926.536878921921,4349.666852801158
681,7551.664000000001,418.5678140418856,3884.2012138668865,4302.769027908772
950,7498.395,415.61526095077915,3856.8022837156673,4272.417544666447
675,7102.849,393.6912420096541,3653.3530500977263,4047.0442921073804
663,6981.217,386.9495172245547,3590.791585227857,3977.7411024524117
438,6974.456,386.57477372554087,3587.314062339265,3973.888836064806
619,6970.413,386.35068143645447,3585.2345437712165,3971.585225207671
245,6656.115000000001,368.9300140421243,3423.5752494599324,3792.5052635020566
547,6410.942000000001,355.3407538907073,3297.4704248534103,3652.8111787441176
612,6402.05,354.847894965514,3292.89682131468,3647.744716280194
949,6262.111999999999,347.09151931620096,3220.9196584713504,3568.0111777875513
